query	class
list all my recommended corporates in bangalore tomorrow	1
list all my workshops in bangalore between 1st of May and 2nd of December	1
java workshop in newyork on this Saturday	1
list all my recommended training I am participating for next month	1
d&i training I am speaking on next tuesday	1
list all my upcoming conference in Chennai on thursday	1
ajax expert with 5 years of experience	0
list all my upcoming trainings I am organizing From 17th April and 1st of May	1
oracle proposal on wednesday	0
scala best practice for next week	0
java leads with 5 years of experience	0
list all my conferences in london for this week	1
scala training on Monday	0
my celebrations in london for this week	1
ajax course for next month	2
ajax case studies	0
my conferences in bangalore for next week	1
scala related case studies on this Saturday	0
d&i conferences on wednesday	1
SCALA celebration I am participating for next week	1
java related lessons learnts between 1st of May and 2nd of December	0
my project issues for next month	0
android architect with 5+ years of experience	0
my tasks on this Saturday	0
UI celebration in newyork on this Saturday	1
oracle trainings on next tuesday	0
list all my upcoming conference in mumbai on thursday	1
list all my apricot on wednesday	0
.net white papers between 1st of May and 2nd of December	0
list all my upcoming trainings I am speaking for next week	1
proposal From 17th April and 1st of May	0
list all my project workshops I am speaking on Monday	1
java related case studies today	2
lessons learnt published in java on wednesday	0
Hub conferences in bangalore From 17th April and 1st of May	1
what are all my upcoming workshop I am organizing for next week	1
my training happening in chennai for this week	1
oracle case studie on thursday	0
what are all my upcoming corporate I am organizing today	1
what are all the case studies for this month	0
my competencies	0
SAP experts in oracle	0
oracle case studies on 21st April	2
my course for next week	0
what are all my recommended workshops I am speaking From 17th April and 1st of May	1
architect with experience less than 10 years in java	0
leads in oracle with experience more than 3 years	0
developers with 5+ years of experience in java	0
list all my risk From 17th April and 1st of May	0
list all the best practices for this month	2
best practices in ajax on thursday	2
what are all my closed issues on wednesday	0
SCALA training in Chennai on this Saturday	1
ajax proposal on wednesday	0
what are all my in progress apricot on wednesday	0
list all my project conferences in bangalore between 1st of May and 2nd of December	1
lead in scala with 5+ years of experience	0
lead with 5 years of experience in scala	0
SCALA celebration happening in chennai today	1
SAP designers in ajax	0
java related case studies for next month	0
what are all my recommended corporates in newyork for next month	1
white papers in oracle	0
best practices published in java on wednesday	0
trainings for this month	2
ajax trainings From 17th April and 1st of May	0
java training on wednesday	0
UI corporates I am speaking on wednesday	1
UI events in mumbai on next tuesday	1
developer with 5 years of experience in scala	0
list all my upcoming conference I am speaking on Monday	1
scala trainings on Monday	0
what are all my recommended celebration between 1st of May and 2nd of December	1
list all conference I am organizing on Monday	1
oracle trainings in newyork for this week	1
d&i conference happening in chennai for next month	1
competencies in oracle on this Saturday	2
Hub workshop in newyork on wednesday	1
java related proposals on wednesday	0
Python workshops happening in chennai on this Saturday	1
lessons learnts in ajax on thursday	0
iOS leads with 5+ years of experience	0
my corporates I am speaking for next week	1
Hub event in bangalore on thursday	1
my project events in newyork on Monday	1
.net architect in ajax	0
IBelong corporates in london on 21st April	1
proposals in ajax on wednesday	0
scala related developers in scala	0
what are all my in progress risk tomorrow	0
list all the developer in scala	0
trainings available in scala tomorrow	0
best practice in oracle for this month	2
oracle workshop happening in chennai on thursday	1
java events I am speaking today	1
list all my project celebration in newyork today	1
list all my project corporates in newyork tomorrow	1
competencies in oracle for this week	0
scala related competencies From 17th April and 1st of May	0
UI conferences in mumbai for next month	1
IBelong workshop in newyork on wednesday	1
java related competencies for this month	0
list all my trainings I am speaking on this Saturday	1
Hub workshops in bangalore between 1st of May and 2nd of December	1
scala case studie on thursday	2
leads in ajax	0
list all the proposal for next week	0
case studie in oracle on this Saturday	0
java related competencie	0
.net course today	0
list all my project risks for next month	0
IBelong conferences happening in chennai on this Saturday	1
risk on wednesday	0
Python celebrations happening in chennai for next month	1
my project events in mumbai between 1st of May and 2nd of December	1
scala related architect in ajax	0
list all my project corporate I am speaking for this month	1
UI celebration in Chennai for next month	1
what are all my recommended workshops in london on wednesday	1
what are all the celebrations I am organizing for this month	1
oracle analyst in scala	0
SAP lead with experience less than 10 years	0
